accuracy	f1score	precision	negativepredvalue	recall	specificity
0.875	0.8507	0.9194	0.8469	0.7917	0.9432
0.8812	0.8652	0.9385	0.8421	0.8026	0.9524
0.85	0.8209	0.9167	0.81	0.7432	0.9419
0.8562	0.8456	0.913	0.8132	0.7875	0.925
0.8938	0.8618	0.8983	0.8911	0.8281	0.9375
0.85	0.8481	0.9054	0.8023	0.7976	0.9079
0.8688	0.8727	0.96	0.7882	0.8	0.9571
0.8625	0.8571	0.9296	0.809	0.7952	0.9351
0.85	0.8378	0.9394	0.7872	0.7561	0.9487
0.8375	0.8289	0.9	0.7889	0.7683	0.9103
0.8562	0.8671	0.9375	0.775	0.8065	0.9254
0.8875	0.8767	0.9412	0.8478	0.8205	0.9512
0.8562	0.8553	0.9577	0.7753	0.7727	0.9583
0.8312	0.8138	0.8806	0.7957	0.7564	0.9024
0.8	0.7922	0.8971	0.7283	0.7093	0.9054
0.8688	0.8571	0.913	0.8352	0.8077	0.9268
0.9125	0.8906	0.95	0.89	0.8382	0.9674
0.8312	0.8188	0.8971	0.7826	0.7531	0.9114
0.875	0.878	0.96	0.8	0.809	0.9577
0.9188	0.9078	0.9846	0.8737	0.8421	0.9881
0.8688	0.8552	0.9841	0.7938	0.7561	0.9872
0.8375	0.803	0.9138	0.7941	0.7162	0.9419
0.8812	0.8633	0.9677	0.8265	0.7792	0.9759
0.8812	0.8758	0.9306	0.8409	0.8272	0.9367
0.8688	0.8662	0.9714	0.7889	0.7816	0.9726
0.8688	0.8591	0.8767	0.8621	0.8421	0.8929
0.8688	0.8591	0.9014	0.8427	0.8205	0.9146
0.8375	0.8289	0.9265	0.7717	0.75	0.9342
0.8312	0.7907	0.8644	0.8119	0.7286	0.9111
0.8312	0.828	0.942	0.7473	0.7386	0.9444
0.8438	0.8387	0.942	0.7692	0.7558	0.9459
0.8438	0.8366	0.9275	0.7802	0.7619	0.9342
0.8562	0.8553	0.9714	0.7667	0.764	0.9718
0.8938	0.8844	0.9701	0.8387	0.8125	0.975
0.8562	0.8456	0.8873	0.8315	0.8077	0.9024
0.8625	0.8493	0.8986	0.8352	0.8052	0.9157
