accuracy	f1score	precision	negativepredvalue	recall	specificity
0.725	0.7143	0.7746	0.6854	0.6627	0.7922
0.6812	0.6531	0.7164	0.6559	0.6	0.7625
0.6312	0.5354	0.6415	0.6262	0.4595	0.7791
0.6812	0.6434	0.7077	0.6632	0.5897	0.7683
0.6625	0.6447	0.6901	0.6404	0.6049	0.7215
0.6875	0.6622	0.7538	0.6421	0.5904	0.7922
0.6688	0.6581	0.7183	0.6292	0.6071	0.7368
0.6312	0.6093	0.697	0.5851	0.5412	0.7333
0.6875	0.6528	0.746	0.6495	0.5802	0.7975
0.725	0.7067	0.8281	0.6562	0.6163	0.8514
0.6938	0.637	0.6719	0.7083	0.6056	0.764
0.675	0.6389	0.6866	0.6667	0.5974	0.747
0.675	0.6486	0.7742	0.6122	0.5581	0.8108
0.725	0.7179	0.7467	0.7059	0.6914	0.7595
0.675	0.6709	0.6974	0.6548	0.6463	0.7051
0.65	0.6056	0.6418	0.6559	0.5733	0.7176
0.6062	0.5655	0.6212	0.5957	0.519	0.6914
0.6188	0.6164	0.7656	0.5208	0.5158	0.7692
0.6812	0.6577	0.7903	0.6122	0.5632	0.8219
0.7375	0.7237	0.7333	0.7412	0.7143	0.759
0.7688	0.7643	0.8	0.7412	0.7317	0.8077
0.6938	0.6667	0.7	0.6889	0.6364	0.747
0.6125	0.5974	0.5974	0.6265	0.5974	0.6265
0.7	0.7	0.7887	0.6292	0.6292	0.7887
0.7125	0.7089	0.7467	0.6824	0.6747	0.7532
0.6625	0.64	0.6857	0.6444	0.6	0.725
0.65	0.6164	0.6618	0.6413	0.5769	0.7195
0.6812	0.6277	0.6825	0.6804	0.5811	0.7674
0.6375	0.642	0.6842	0.5952	0.6047	0.6757
0.7188	0.6939	0.7286	0.7111	0.6623	0.7711
0.6625	0.6447	0.6806	0.6477	0.6125	0.7125
0.675	0.6667	0.65	0.7	0.6842	0.6667
0.6125	0.6076	0.6667	0.5682	0.5581	0.6757
0.7312	0.7329	0.7468	0.716	0.7195	0.7436
0.7438	0.7453	0.8571	0.6556	0.6593	0.8551
0.6812	0.6623	0.7576	0.6277	0.5882	0.7867
0.7	0.6471	0.7097	0.6939	0.5946	0.7907
0.6875	0.6479	0.7077	0.6737	0.5974	0.7711
0.6188	0.585	0.6418	0.6022	0.5375	0.7
0.7062	0.6968	0.7826	0.6484	0.6279	0.7973
0.6875	0.6875	0.7333	0.6471	0.6471	0.7333
0.6562	0.6358	0.6957	0.6264	0.5854	0.7308
0.7	0.7143	0.7407	0.6582	0.6897	0.7123
0.6812	0.6577	0.7	0.6667	0.6203	0.7407
0.7	0.6757	0.7143	0.6889	0.641	0.7561
0.6812	0.6331	0.7458	0.6436	0.55	0.8125
0.6688	0.6131	0.6774	0.6633	0.56	0.7647
0.675	0.5937	0.623	0.7071	0.5672	0.7527
0.6438	0.6503	0.6795	0.6098	0.6235	0.6667
0.675	0.6176	0.6364	0.7021	0.6	0.7333
0.6875	0.6528	0.6812	0.6923	0.6267	0.7412
0.65	0.6456	0.6623	0.6386	0.6296	0.6709
0.6188	0.6065	0.6528	0.5909	0.5663	0.6753
0.6375	0.6081	0.6618	0.6196	0.5625	0.7125
0.7312	0.7114	0.791	0.6882	0.6463	0.8205
0.7125	0.6806	0.7206	0.7065	0.6447	0.7738
0.6562	0.5736	0.5968	0.6939	0.5522	0.7312
0.6812	0.6982	0.7375	0.625	0.6629	0.7042
0.6938	0.6573	0.7121	0.6809	0.6104	0.7711
0.675	0.6579	0.7812	0.6042	0.5682	0.8056
0.6625	0.6351	0.7015	0.6344	0.5802	0.7468
0.6625	0.6087	0.6462	0.6737	0.5753	0.7356
0.6562	0.5985	0.6833	0.64	0.5325	0.7711
0.6812	0.6667	0.7612	0.6237	0.593	0.7838
0.6688	0.6443	0.8	0.59	0.5393	0.831
0.6875	0.6622	0.6622	0.7093	0.6622	0.7093
0.7062	0.6803	0.7246	0.6923	0.641	0.7683
0.6375	0.6133	0.6389	0.6364	0.5897	0.6829
0.7438	0.7007	0.7742	0.7245	0.64	0.8353
0.7062	0.7044	0.7273	0.6867	0.6829	0.7308
0.6625	0.6447	0.6901	0.6404	0.6049	0.7215
0.7062	0.6759	0.7538	0.6737	0.6125	0.8
0.6688	0.6581	0.7083	0.6364	0.6145	0.7273
0.6625	0.6447	0.6533	0.6706	0.6364	0.6867
0.775	0.7465	0.791	0.7634	0.7067	0.8353
0.7375	0.7237	0.7639	0.7159	0.6875	0.7875
0.65	0.6056	0.6056	0.6854	0.6056	0.6854
0.6938	0.6423	0.6667	0.7128	0.6197	0.7528
0.675	0.6486	0.7385	0.6316	0.5783	0.7792
0.7	0.662	0.7581	0.6633	0.5875	0.8125
0.75	0.7436	0.8056	0.7045	0.6905	0.8158
0.7062	0.6928	0.726	0.6897	0.6625	0.75
0.6812	0.7086	0.775	0.5875	0.6526	0.7231
0.6812	0.6752	0.7067	0.6588	0.6463	0.7179
0.6812	0.6752	0.8413	0.5773	0.5638	0.8485
0.6188	0.6115	0.6667	0.5795	0.5647	0.68
0.775	0.7805	0.8101	0.7407	0.7529	0.8
0.65	0.5692	0.6167	0.67	0.5286	0.7444
0.6312	0.6289	0.6579	0.6071	0.6024	0.6623
0.6688	0.6443	0.7385	0.6211	0.5714	0.7763
0.675	0.6905	0.7632	0.5952	0.6304	0.7353
0.6688	0.6443	0.6857	0.6556	0.6076	0.7284
0.7125	0.7262	0.8133	0.6235	0.6559	0.791
0.6438	0.5899	0.6308	0.6526	0.5541	0.7209
0.7062	0.6928	0.7162	0.6977	0.6709	0.7407
0.625	0.6296	0.6623	0.5904	0.6	0.6533
0.6375	0.5735	0.6842	0.6117	0.4937	0.7778
0.6562	0.6541	0.7324	0.5955	0.5909	0.7361
0.75	0.7297	0.7941	0.7174	0.675	0.825
0.6688	0.6581	0.7083	0.6364	0.6145	0.7273
0.7	0.6757	0.7353	0.6739	0.625	0.775
0.6812	0.6667	0.6892	0.6744	0.6456	0.716
0.6812	0.6792	0.7013	0.6627	0.6585	0.7051
0.7688	0.7448	0.806	0.7419	0.6923	0.8415
0.6688	0.5891	0.6667	0.6699	0.5278	0.7841
0.6688	0.6624	0.7429	0.6111	0.5977	0.7534
0.725	0.7284	0.7468	0.7037	0.7108	0.7403
0.7062	0.6299	0.7143	0.7019	0.5634	0.8202
0.6562	0.6452	0.6667	0.6471	0.625	0.6875
0.6562	0.6541	0.7429	0.5889	0.5843	0.7465
0.7188	0.6457	0.6949	0.7327	0.6029	0.8043
0.7125	0.6714	0.746	0.6907	0.6104	0.8072
0.65	0.5556	0.5738	0.697	0.5385	0.7263
0.6688	0.6241	0.7097	0.6429	0.557	0.7778
0.675	0.679	0.7237	0.631	0.6395	0.7162
0.7188	0.702	0.791	0.6667	0.631	0.8158
0.65	0.6316	0.7059	0.6087	0.5714	0.7368
0.675	0.6389	0.6765	0.6739	0.6053	0.7381
0.7125	0.6892	0.7083	0.7159	0.6711	0.75
0.7	0.6962	0.7333	0.6706	0.6627	0.7403
0.6312	0.5755	0.6452	0.6224	0.5195	0.7349
0.6688	0.6131	0.6667	0.6701	0.5676	0.7558
0.6125	0.5753	0.6667	0.5773	0.506	0.7273
0.7312	0.7329	0.7867	0.6824	0.686	0.7838
0.65	0.5692	0.5968	0.6837	0.5441	0.7283
0.7	0.7037	0.8028	0.618	0.6264	0.7971
0.6875	0.7253	0.7857	0.5789	0.6735	0.7097
0.7438	0.7355	0.7808	0.7126	0.6951	0.7949
0.6625	0.6301	0.7302	0.6186	0.5542	0.7792
0.6562	0.6259	0.6133	0.6941	0.6389	0.6705
0.65	0.6056	0.6143	0.6778	0.5972	0.6932
0.65	0.6216	0.6479	0.6517	0.5974	0.6988
0.6125	0.5867	0.6377	0.5934	0.5432	0.6835
0.6875	0.6154	0.625	0.7292	0.6061	0.7447
0.7188	0.6715	0.7541	0.697	0.6053	0.8214
0.7188	0.6897	0.7812	0.6771	0.6173	0.8228
0.7562	0.7234	0.7846	0.7368	0.6711	0.8333
0.6875	0.6795	0.7571	0.6333	0.6163	0.7703
