accuracy	f1score	precision	negativepredvalue	recall	specificity
0.8938	0.8874	0.8481	0.9383	0.9306	0.8636
0.8812	0.879	0.8519	0.9114	0.9079	0.8571
0.8188	0.8129	0.7778	0.8608	0.8514	0.7907
0.8188	0.8324	0.7742	0.8806	0.9	0.7375
0.8625	0.8472	0.7625	0.9625	0.9531	0.8021
0.8562	0.8701	0.828	0.8955	0.9167	0.7895
0.8562	0.8729	0.8681	0.8406	0.8778	0.8286
0.9	0.9048	0.8941	0.9067	0.9157	0.8831
0.8562	0.8729	0.798	0.9508	0.9634	0.7436
0.8562	0.8589	0.8642	0.8481	0.8537	0.859
0.8375	0.8617	0.8526	0.8154	0.871	0.791
0.9062	0.9068	0.8795	0.9351	0.9359	0.878
0.85	0.8605	0.881	0.8158	0.8409	0.8611
0.8375	0.8434	0.7955	0.8889	0.8974	0.7805
0.8312	0.8508	0.8105	0.8615	0.8953	0.7568
0.8625	0.8675	0.8182	0.9167	0.9231	0.8049
0.8812	0.8725	0.8025	0.962	0.9559	0.8261
0.85	0.8571	0.8276	0.8767	0.8889	0.8101
0.8562	0.8701	0.875	0.8333	0.8652	0.8451
0.9062	0.9068	0.8588	0.96	0.9605	0.8571
0.8812	0.8848	0.8795	0.8831	0.8902	0.8718
0.85	0.8481	0.7976	0.9079	0.9054	0.8023
0.825	0.8272	0.7882	0.8667	0.8701	0.7831
0.825	0.8353	0.7978	0.8592	0.8765	0.7722
0.8688	0.88	0.875	0.8611	0.8851	0.8493
0.8688	0.8591	0.8767	0.8621	0.8421	0.8929
0.825	0.8293	0.7907	0.8649	0.8718	0.7805
0.8812	0.8862	0.8916	0.8701	0.881	0.8816
0.8	0.7922	0.7262	0.8816	0.8714	0.7444
0.8188	0.8449	0.798	0.8525	0.8977	0.7222
0.875	0.881	0.9024	0.8462	0.8605	0.8919
0.8562	0.8686	0.8352	0.8841	0.9048	0.8026
0.8938	0.905	0.9	0.8857	0.9101	0.8732
0.8938	0.897	0.8706	0.92	0.925	0.8625
0.875	0.8795	0.8295	0.9306	0.9359	0.8171
0.8375	0.8375	0.8072	0.8701	0.8701	0.8072
0.8375	0.8452	0.8554	0.8182	0.8353	0.84
0.8375	0.8556	0.837	0.8382	0.875	0.7917
0.8312	0.8364	0.7753	0.9014	0.9079	0.7619
0.8938	0.9091	0.8673	0.9355	0.9551	0.8169
0.8625	0.8706	0.8132	0.9275	0.9367	0.7901
0.8375	0.8169	0.7342	0.9383	0.9206	0.7835
0.8625	0.8625	0.8519	0.8734	0.8734	0.8519
0.8812	0.882	0.8452	0.9211	0.9221	0.8434
0.8438	0.8555	0.8315	0.8592	0.881	0.8026
0.85	0.85	0.8095	0.8947	0.8947	0.8095
0.8562	0.8808	0.85	0.8667	0.914	0.7761
0.8875	0.9011	0.8817	0.8955	0.9213	0.8451
0.8375	0.8471	0.8182	0.8611	0.878	0.7949
0.875	0.8734	0.8118	0.9467	0.9452	0.8161
0.7938	0.8216	0.7755	0.8226	0.8736	0.6986
0.8562	0.8553	0.8193	0.8961	0.8947	0.8214
0.8688	0.8727	0.878	0.859	0.8675	0.8701
0.7875	0.7976	0.7204	0.8806	0.8933	0.6941
0.875	0.878	0.8372	0.9189	0.9231	0.8293
0.8875	0.8889	0.878	0.8974	0.9	0.875
0.8312	0.828	0.7647	0.9067	0.9028	0.7727
0.85	0.8554	0.7717	0.9559	0.9595	0.7558
0.8312	0.8302	0.8354	0.8272	0.825	0.8375
0.8938	0.904	0.8602	0.9403	0.9524	0.8289
0.8312	0.828	0.8025	0.8608	0.8553	0.8095
0.875	0.8876	0.8778	0.8714	0.8977	0.8472
0.85	0.8356	0.7722	0.9259	0.9104	0.8065
0.8625	0.8706	0.8605	0.8649	0.881	0.8421
0.8438	0.8428	0.7976	0.8947	0.8933	0.8
0.8688	0.8531	0.8243	0.907	0.8841	0.8571
0.8812	0.8876	0.8929	0.8684	0.8824	0.88
0.8375	0.8471	0.8182	0.8611	0.878	0.7949
0.8	0.7895	0.7143	0.8947	0.8824	0.7391
0.8625	0.8817	0.8367	0.9032	0.9318	0.7778
0.8938	0.904	0.8602	0.9403	0.9524	0.8289
0.8812	0.8927	0.8587	0.9118	0.9294	0.8267
0.8625	0.8429	0.7867	0.9294	0.9077	0.8316
0.8375	0.8434	0.7778	0.9143	0.9211	0.7619
0.8125	0.8052	0.775	0.85	0.8378	0.7907
0.8375	0.8488	0.7935	0.8971	0.9125	0.7625
0.8562	0.8715	0.8764	0.831	0.8667	0.8429
0.8688	0.8712	0.8161	0.9315	0.9342	0.8095
0.8312	0.8235	0.8182	0.8434	0.8289	0.8333
0.9125	0.9186	0.908	0.9178	0.9294	0.8933
0.8062	0.8144	0.7727	0.8472	0.8608	0.7531
0.8125	0.8214	0.7841	0.8472	0.8625	0.7625
0.85	0.8588	0.8202	0.8873	0.9012	0.7975
0.85	0.8621	0.8427	0.8592	0.8824	0.8133
0.8562	0.8639	0.7935	0.9412	0.9481	0.7711
0.875	0.881	0.8506	0.9041	0.9136	0.8354
0.8562	0.8497	0.8442	0.8675	0.8553	0.8571
0.8125	0.8256	0.7802	0.8551	0.8765	0.7468
0.8375	0.8523	0.8621	0.8082	0.8427	0.831
0.8625	0.875	0.8652	0.8592	0.8851	0.8356
0.8625	0.8625	0.7931	0.9452	0.9452	0.7931
0.875	0.881	0.8409	0.9167	0.925	0.825
0.8312	0.8112	0.7733	0.8824	0.8529	0.8152
0.8125	0.8276	0.809	0.8169	0.8471	0.7733
0.9	0.9024	0.8605	0.9459	0.9487	0.8537
0.8875	0.8953	0.8652	0.9155	0.9277	0.8442
0.9	0.914	0.8763	0.9365	0.9551	0.831
0.8312	0.8421	0.7742	0.9104	0.9231	0.7439
0.8688	0.8757	0.8605	0.8784	0.8916	0.8442
0.85	0.8554	0.8353	0.8667	0.8765	0.8228
0.875	0.8795	0.8795	0.8701	0.8795	0.8701
0.9	0.9048	0.8736	0.9315	0.9383	0.8608
0.8812	0.8876	0.8427	0.9296	0.9375	0.825
0.8688	0.8609	0.8025	0.9367	0.9286	0.8222
0.8125	0.8295	0.7766	0.8636	0.8902	0.7308
0.8562	0.8571	0.8415	0.8718	0.8734	0.8395
0.8062	0.8287	0.7895	0.8308	0.8721	0.7297
0.8125	0.837	0.828	0.791	0.8462	0.7681
0.8625	0.875	0.837	0.8971	0.9167	0.8026
0.8875	0.8902	0.8795	0.8961	0.9012	0.8734
0.8875	0.8966	0.8667	0.9143	0.9286	0.8421
0.8625	0.859	0.8272	0.8987	0.8933	0.8353
0.875	0.878	0.8571	0.8947	0.9	0.85
0.8812	0.8914	0.8864	0.875	0.8966	0.863
0.8188	0.8199	0.7857	0.8553	0.8571	0.7831
0.8438	0.8538	0.7935	0.9118	0.9241	0.7654
0.8375	0.8415	0.7931	0.8904	0.8961	0.7831
0.8875	0.8889	0.8571	0.9211	0.9231	0.8537
0.8688	0.8696	0.8333	0.9079	0.9091	0.8313
0.8375	0.8354	0.7952	0.8831	0.88	0.8
0.8688	0.8814	0.8667	0.8714	0.8966	0.8356
0.8438	0.8276	0.8	0.8824	0.8571	0.8333
0.8	0.814	0.7527	0.8657	0.8861	0.716
0.8	0.8	0.7619	0.8421	0.8421	0.7619
0.9062	0.9112	0.875	0.9444	0.9506	0.8608
0.8125	0.8077	0.7412	0.8933	0.8873	0.7528
0.9	0.9149	0.8866	0.9206	0.9451	0.8406
0.8188	0.8343	0.8022	0.8406	0.869	0.7632
0.8188	0.8324	0.766	0.8939	0.9114	0.7284
0.825	0.8313	0.7841	0.875	0.8846	0.7683
0.8688	0.8712	0.8161	0.9315	0.9342	0.8095
0.8938	0.9006	0.875	0.9167	0.9277	0.8571
0.85	0.8481	0.8072	0.8961	0.8933	0.8118
0.8562	0.8701	0.837	0.8824	0.9059	0.8
0.8625	0.8608	0.85	0.875	0.8718	0.8537
0.8562	0.8606	0.8256	0.8919	0.8987	0.8148
0.825	0.8056	0.7632	0.881	0.8529	0.8043
0.8625	0.859	0.8272	0.8987	0.8933	0.8353
0.85	0.8378	0.775	0.925	0.9118	0.8043
0.85	0.85	0.8095	0.8947	0.8947	0.8095
0.8188	0.8324	0.7912	0.8551	0.878	0.7564
0.875	0.8795	0.8902	0.859	0.869	0.8816
0.8625	0.8608	0.8	0.9333	0.9315	0.8046
0.8688	0.8627	0.8684	0.869	0.8571	0.8795
0.9062	0.918	0.913	0.8971	0.9231	0.8841
0.825	0.8182	0.7683	0.8846	0.875	0.7841
0.8812	0.8834	0.8571	0.9079	0.9114	0.8519
0.825	0.8444	0.7835	0.8889	0.9157	0.7273
0.8625	0.883	0.8557	0.873	0.9121	0.7971
0.8375	0.8333	0.7927	0.8846	0.8784	0.8023
0.8	0.7949	0.7209	0.8919	0.8857	0.7333
0.85	0.85	0.8718	0.8293	0.8293	0.8718
0.8875	0.8846	0.8415	0.9359	0.9324	0.8488
0.925	0.9286	0.8864	0.9722	0.975	0.875
0.8688	0.8945	0.8725	0.8621	0.9175	0.7937
0.8562	0.8821	0.8515	0.8644	0.9149	0.7727
0.875	0.8824	0.8824	0.8667	0.8824	0.8667
0.8688	0.8712	0.8161	0.9315	0.9342	0.8095
0.8062	0.8075	0.7471	0.8767	0.8784	0.7442
0.875	0.8837	0.9268	0.8205	0.8444	0.9143
