accuracy	f1score	precision	negativepredvalue	recall	specificity
0.8875	0.8861	0.814	0.973	0.9722	0.8182
0.8625	0.8642	0.814	0.9189	0.9211	0.8095
0.8312	0.8344	0.764	0.9155	0.9189	0.7558
0.8688	0.8786	0.8172	0.9403	0.95	0.7875
0.825	0.8	0.7368	0.9048	0.875	0.7917
0.8062	0.8377	0.7477	0.9245	0.9524	0.6447
0.85	0.8667	0.8667	0.8286	0.8667	0.8286
0.8562	0.8743	0.8	0.95	0.9639	0.7403
0.8375	0.8506	0.8043	0.8824	0.9024	0.7692
0.8062	0.8208	0.7802	0.8406	0.8659	0.7436
0.8375	0.866	0.8317	0.8475	0.9032	0.7463
0.8562	0.8606	0.8161	0.9041	0.9103	0.8049
0.8375	0.8587	0.8229	0.8594	0.8977	0.7639
0.8562	0.8571	0.8313	0.8831	0.8846	0.8293
0.7938	0.8197	0.7732	0.8254	0.8721	0.7027
0.825	0.8353	0.7717	0.8971	0.9103	0.7439
0.8188	0.8105	0.7294	0.92	0.9118	0.75
0.8375	0.8452	0.8161	0.863	0.8765	0.7975
0.8312	0.8556	0.8163	0.8548	0.8989	0.7465
0.9	0.8974	0.875	0.925	0.9211	0.881
0.8688	0.8786	0.8352	0.913	0.9268	0.8077
0.8312	0.8323	0.7701	0.9041	0.9054	0.7674
0.8438	0.8503	0.7889	0.9143	0.9221	0.7711
0.8438	0.8571	0.7979	0.9091	0.9259	0.7595
0.85	0.8696	0.8247	0.8889	0.9195	0.7671
0.8438	0.8408	0.8148	0.8734	0.8684	0.8214
0.825	0.8228	0.8125	0.8375	0.8333	0.8171
0.8188	0.8362	0.7957	0.8507	0.881	0.75
0.8312	0.8212	0.7654	0.8987	0.8857	0.7889
0.8188	0.8449	0.798	0.8525	0.8977	0.7222
0.825	0.8409	0.8222	0.8286	0.8605	0.7838
0.9188	0.924	0.908	0.9315	0.9405	0.8947
0.8688	0.8865	0.8542	0.8906	0.9213	0.8028
0.8438	0.8538	0.8022	0.8986	0.9125	0.775
0.8312	0.8383	0.7865	0.8873	0.8974	0.7683
0.8	0.8072	0.7528	0.8592	0.8701	0.7349
0.7938	0.8114	0.7889	0.8	0.8353	0.7467
0.825	0.8462	0.8191	0.8333	0.875	0.7639
0.7938	0.7925	0.759	0.8312	0.8289	0.7619
0.8625	0.8778	0.8681	0.8551	0.8876	0.831
0.825	0.8391	0.7684	0.9077	0.9241	0.7284
0.8875	0.8696	0.8	0.9647	0.9524	0.8454
0.8625	0.8642	0.8434	0.8831	0.8861	0.8395
0.875	0.8795	0.8202	0.9437	0.9481	0.8072
0.8	0.8182	0.7826	0.8235	0.8571	0.7368
0.8562	0.8571	0.8118	0.9067	0.9079	0.8095
0.8625	0.8878	0.8447	0.8947	0.9355	0.7612
0.85	0.8696	0.8421	0.8615	0.8989	0.7887
0.825	0.8391	0.7935	0.8676	0.8902	0.7564
0.8688	0.8662	0.8095	0.9342	0.9315	0.8161
0.8062	0.8268	0.8043	0.8088	0.8506	0.7534
0.85	0.8571	0.7826	0.9412	0.9474	0.7619
0.8312	0.8421	0.8182	0.8472	0.8675	0.7922
0.8	0.8025	0.7471	0.863	0.8667	0.7412
0.8062	0.8166	0.7582	0.8696	0.8846	0.7317
0.8562	0.8671	0.8065	0.9254	0.9375	0.775
0.8312	0.828	0.7647	0.9067	0.9028	0.7727
0.8688	0.8712	0.7978	0.9577	0.9595	0.7907
0.8312	0.8383	0.8046	0.863	0.875	0.7875
0.9125	0.9205	0.8804	0.9559	0.9643	0.8553
0.8625	0.8625	0.8214	0.9079	0.9079	0.8214
0.8688	0.8827	0.8681	0.8696	0.8977	0.8333
0.825	0.8056	0.7532	0.8916	0.8657	0.7957
0.825	0.8409	0.8043	0.8529	0.881	0.7632
0.8438	0.8447	0.7907	0.9054	0.9067	0.7882
0.8312	0.8163	0.7692	0.8902	0.8696	0.8022
0.85	0.8652	0.828	0.8806	0.9059	0.7867
0.8562	0.8686	0.8172	0.9104	0.9268	0.7821
0.8438	0.8322	0.7654	0.9241	0.9118	0.7935
0.8812	0.8995	0.8416	0.9492	0.9659	0.7778
0.9062	0.9153	0.871	0.9552	0.9643	0.8421
0.9062	0.9171	0.8646	0.9688	0.9765	0.8267
0.8688	0.8531	0.7821	0.9512	0.9385	0.8211
0.8188	0.8199	0.7765	0.8667	0.8684	0.7738
0.8688	0.8662	0.8193	0.9221	0.9189	0.8256
0.8125	0.8333	0.75	0.9167	0.9375	0.6875
0.8375	0.8632	0.82	0.8667	0.9111	0.7429
0.8188	0.8221	0.7701	0.8767	0.8816	0.7619
0.8188	0.8199	0.7765	0.8667	0.8684	0.7738
0.85	0.8681	0.8144	0.9048	0.9294	0.76
0.7938	0.8047	0.7556	0.8429	0.8608	0.7284
0.8188	0.8284	0.7865	0.8592	0.875	0.7625
0.8625	0.869	0.8391	0.8904	0.9012	0.8228
0.85	0.8696	0.8081	0.918	0.9412	0.7467
0.8312	0.8439	0.7604	0.9375	0.9481	0.7229
0.8438	0.8555	0.8043	0.8971	0.9136	0.7722
0.7562	0.7578	0.7176	0.8	0.8026	0.7143
0.875	0.881	0.8506	0.9041	0.9136	0.8354
0.8562	0.8783	0.83	0.9	0.9326	0.7606
0.875	0.8913	0.8454	0.9206	0.9425	0.7945
0.85	0.8537	0.7692	0.9565	0.9589	0.7586
0.8812	0.8876	0.8427	0.9296	0.9375	0.825
0.8625	0.8451	0.8108	0.907	0.8824	0.8478
0.8688	0.884	0.8333	0.9219	0.9412	0.7867
0.8938	0.8982	0.8427	0.9577	0.9615	0.8293
0.8438	0.8571	0.8152	0.8824	0.9036	0.7792
