accuracy	f1score	precision	negativepredvalue	recall	specificity
0.9188	0.9103	0.9041	0.931	0.9167	0.9205
0.9062	0.8966	0.942	0.8791	0.8553	0.9524
0.8812	0.8742	0.8571	0.9036	0.8919	0.8721
0.8812	0.882	0.8765	0.8861	0.8875	0.875
0.9	0.8788	0.8529	0.9348	0.9062	0.8958
0.8938	0.9017	0.8764	0.9155	0.9286	0.8553
0.9125	0.9231	0.913	0.9118	0.9333	0.8857
0.9375	0.9405	0.9294	0.9467	0.9518	0.9221
0.9188	0.9193	0.9367	0.9012	0.9024	0.9359
0.9	0.9036	0.8929	0.9079	0.9146	0.8846
0.9188	0.9297	0.9348	0.8971	0.9247	0.9104
0.9125	0.9114	0.9	0.925	0.9231	0.9024
0.9062	0.9143	0.9195	0.8904	0.9091	0.9028
0.8688	0.8645	0.8701	0.8675	0.859	0.878
0.8688	0.8786	0.8736	0.863	0.8837	0.8514
0.9	0.9	0.878	0.9231	0.9231	0.878
0.9125	0.9014	0.8649	0.9535	0.9412	0.8913
0.8875	0.8929	0.8621	0.9178	0.9259	0.8481
0.9562	0.9605	0.9659	0.9444	0.9551	0.9577
0.95	0.9474	0.9474	0.9524	0.9474	0.9524
0.9438	0.9455	0.9398	0.9481	0.9512	0.9359
0.9125	0.9079	0.8846	0.939	0.9324	0.8953
0.925	0.92	0.9452	0.908	0.8961	0.9518
0.8875	0.8902	0.8795	0.8961	0.9012	0.8734
0.9438	0.948	0.9535	0.9324	0.9425	0.9452
0.9125	0.9114	0.878	0.9487	0.9474	0.881
0.8812	0.882	0.8554	0.9091	0.9103	0.8537
0.9188	0.924	0.908	0.9315	0.9405	0.8947
0.8875	0.8714	0.8714	0.9	0.8714	0.9
0.9062	0.9153	0.9101	0.9014	0.9205	0.8889
0.8875	0.8929	0.9146	0.859	0.8721	0.9054
0.9	0.9048	0.9048	0.8947	0.9048	0.8947
0.9188	0.9249	0.9524	0.8816	0.8989	0.9437
0.925	0.9231	0.9474	0.9048	0.9	0.95
0.8688	0.8662	0.8608	0.8765	0.8718	0.8659
0.8688	0.8662	0.85	0.8875	0.8831	0.8554
0.9188	0.924	0.9186	0.9189	0.9294	0.9067
0.9062	0.9123	0.9398	0.8701	0.8864	0.9306
0.95	0.9481	0.9359	0.9634	0.9605	0.9405
0.925	0.9355	0.8969	0.9683	0.9775	0.8592
0.8875	0.8916	0.8506	0.9315	0.9367	0.8395
0.9	0.875	0.8615	0.9263	0.8889	0.9072
0.9125	0.9103	0.9221	0.9036	0.8987	0.9259
0.9125	0.9114	0.8889	0.9367	0.9351	0.8916
0.9062	0.9133	0.8876	0.9296	0.9405	0.8684
0.8625	0.8571	0.8462	0.878	0.8684	0.8571
0.8938	0.9101	0.8958	0.8906	0.9247	0.8507
0.925	0.9318	0.9425	0.9041	0.9213	0.9296
0.9125	0.9136	0.925	0.9	0.9024	0.9231
0.925	0.9167	0.9296	0.9213	0.9041	0.9425
0.8375	0.8488	0.8588	0.8133	0.8391	0.8356
0.9062	0.902	0.8961	0.9157	0.9079	0.9048
0.9438	0.9455	0.9512	0.9359	0.9398	0.9481
0.8438	0.8344	0.8289	0.8571	0.84	0.8471
0.9188	0.915	0.9333	0.9059	0.8974	0.939
0.9188	0.9161	0.9467	0.8941	0.8875	0.95
0.925	0.9211	0.875	0.975	0.9722	0.8864
0.9438	0.9412	0.9114	0.9753	0.973	0.9186
0.9188	0.915	0.9589	0.8851	0.875	0.9625
0.9438	0.9486	0.9121	0.9855	0.9881	0.8947
0.8562	0.8516	0.8354	0.8765	0.8684	0.8452
0.9125	0.9205	0.9205	0.9028	0.9205	0.9028
0.9312	0.9173	0.9242	0.9362	0.9104	0.9462
0.8938	0.904	0.8602	0.9403	0.9524	0.8289
0.925	0.92	0.92	0.9294	0.92	0.9294
0.9312	0.9241	0.8816	0.9762	0.971	0.9011
0.9125	0.9167	0.9277	0.8961	0.9059	0.92
0.9	0.9012	0.9125	0.8875	0.8902	0.9103
0.9062	0.8936	0.863	0.9425	0.9265	0.8913
0.875	0.8876	0.8778	0.8714	0.8977	0.8472
0.9	0.907	0.8864	0.9167	0.9286	0.8684
0.875	0.8795	0.9012	0.8481	0.8588	0.8933
0.8875	0.8696	0.8219	0.9425	0.9231	0.8632
0.875	0.8734	0.8415	0.9103	0.9079	0.8452
0.9062	0.8966	0.9155	0.8989	0.8784	0.9302
0.875	0.8824	0.8333	0.9286	0.9375	0.8125
0.9312	0.9379	0.954	0.9041	0.9222	0.9429
0.8875	0.8816	0.8816	0.8929	0.8816	0.8929
0.9	0.8919	0.9167	0.8864	0.8684	0.9286
0.8938	0.8957	0.9359	0.8537	0.8588	0.9333
0.9	0.8987	0.8987	0.9012	0.8987	0.9012
0.9188	0.9193	0.9136	0.9241	0.925	0.9125
0.8938	0.8957	0.8902	0.8974	0.9012	0.8861
0.9062	0.9123	0.907	0.9054	0.9176	0.8933
0.8938	0.8944	0.8571	0.9342	0.9351	0.8554
0.8875	0.8889	0.8889	0.8861	0.8889	0.8861
0.925	0.9241	0.8902	0.9615	0.9605	0.8929
0.925	0.9268	0.9157	0.9351	0.9383	0.9114
0.9062	0.918	0.8936	0.9242	0.9438	0.8592
0.8562	0.8589	0.9211	0.7976	0.8046	0.9178
0.8812	0.8725	0.8553	0.9048	0.8904	0.8736
0.925	0.9268	0.9048	0.9474	0.95	0.9
0.8875	0.8676	0.8676	0.9022	0.8676	0.9022
0.9	0.907	0.8966	0.9041	0.9176	0.88
0.9625	0.962	0.95	0.975	0.9744	0.9512
0.9125	0.9167	0.9059	0.92	0.9277	0.8961
0.8938	0.9061	0.8913	0.8971	0.9213	0.8592
0.9062	0.9068	0.8795	0.9351	0.9359	0.878
0.9	0.9024	0.9136	0.8861	0.8916	0.9091
0.9125	0.9103	0.9467	0.8824	0.8765	0.9494
0.8625	0.8659	0.8765	0.8481	0.8554	0.8701
0.9188	0.9182	0.9359	0.9024	0.9012	0.9367
0.8875	0.8875	0.8875	0.8875	0.8875	0.8875
0.95	0.9437	0.9306	0.9659	0.9571	0.9444
0.8812	0.8876	0.8621	0.9041	0.9146	0.8462
0.9375	0.9367	0.9367	0.9383	0.9367	0.9383
0.8688	0.88	0.8652	0.8732	0.8953	0.8378
0.8625	0.883	0.8557	0.873	0.9121	0.7971
0.9125	0.9186	0.8977	0.9306	0.9405	0.8816
0.925	0.925	0.9367	0.9136	0.9136	0.9367
0.9062	0.9112	0.9059	0.9067	0.9167	0.8947
0.925	0.9178	0.9437	0.9101	0.8933	0.9529
0.925	0.9259	0.9146	0.9359	0.9375	0.9125
0.9062	0.9123	0.9286	0.8816	0.8966	0.9178
0.8875	0.8846	0.8734	0.9012	0.8961	0.8795
