accuracy	f1score	precision	negativepredvalue	recall	specificity
0.7062	0.6887	0.6582	0.7531	0.7222	0.6932
0.7	0.6712	0.7	0.7	0.6447	0.75
0.6625	0.6447	0.6282	0.6951	0.6622	0.6628
0.725	0.7442	0.6957	0.7647	0.8	0.65
0.7562	0.7153	0.6712	0.8276	0.7656	0.75
0.7125	0.7229	0.7317	0.6923	0.7143	0.7105
0.7312	0.7543	0.7765	0.68	0.7333	0.7286
0.725	0.725	0.7532	0.6988	0.6988	0.7532
0.7438	0.763	0.7253	0.7681	0.8049	0.6795
0.7188	0.7368	0.7079	0.7324	0.7683	0.6667
0.7312	0.7571	0.7976	0.6579	0.7204	0.7463
0.7688	0.7758	0.7356	0.8082	0.8205	0.7195
0.6875	0.7093	0.7262	0.6447	0.6932	0.6806
0.7125	0.716	0.6905	0.7368	0.7436	0.6829
0.6438	0.6705	0.6667	0.6164	0.6744	0.6081
0.7438	0.7485	0.7176	0.7733	0.7821	0.7073
0.7062	0.6759	0.6364	0.7711	0.7206	0.6957
0.7188	0.7305	0.7093	0.7297	0.7531	0.6835
0.7062	0.7374	0.7333	0.6714	0.7416	0.662
0.7188	0.7097	0.6962	0.7407	0.7237	0.7143
0.775	0.7831	0.7738	0.7763	0.7927	0.7564
0.7312	0.719	0.6962	0.7654	0.7432	0.7209
0.7125	0.716	0.6824	0.7467	0.7532	0.6747
0.6625	0.6824	0.6517	0.6761	0.716	0.6076
0.7062	0.7403	0.7128	0.697	0.7701	0.6301
0.6812	0.6531	0.6761	0.6854	0.6316	0.7262
0.6688	0.6536	0.6667	0.6706	0.641	0.6951
0.7	0.7108	0.7195	0.6795	0.7024	0.6974
0.6562	0.6358	0.5926	0.7215	0.6857	0.6333
0.65	0.6667	0.7	0.6	0.6364	0.6667
0.7562	0.7665	0.7901	0.7215	0.7442	0.7703
0.75	0.7647	0.7558	0.7432	0.7738	0.7237
0.7812	0.8066	0.7935	0.7647	0.8202	0.7324
0.7062	0.7044	0.7089	0.7037	0.7	0.7125
0.6688	0.6667	0.6543	0.6835	0.6795	0.6585
0.7	0.6962	0.679	0.7215	0.7143	0.6867
0.7	0.7108	0.7284	0.6709	0.6941	0.7067
0.7188	0.7541	0.7263	0.7077	0.7841	0.6389
0.65	0.6667	0.6087	0.7059	0.7368	0.5714
0.7	0.7303	0.7303	0.662	0.7303	0.662
0.7375	0.747	0.7126	0.7671	0.7848	0.6914
0.7188	0.6715	0.6216	0.8023	0.7302	0.7113
0.7188	0.717	0.7125	0.725	0.7215	0.716
0.7062	0.7117	0.6744	0.7432	0.7532	0.6627
0.6625	0.6824	0.6744	0.6486	0.6905	0.6316
0.7625	0.7532	0.7436	0.7805	0.7632	0.7619
0.7188	0.7514	0.7727	0.6528	0.7312	0.7015
0.7125	0.7444	0.7363	0.6812	0.7528	0.662
0.6625	0.6625	0.6795	0.6463	0.6463	0.6795
0.7625	0.7564	0.7108	0.8182	0.8082	0.7241
0.6688	0.6971	0.6932	0.6389	0.7011	0.6301
0.725	0.7143	0.7051	0.7439	0.7237	0.7262
0.6812	0.6871	0.7	0.6625	0.6747	0.6883
0.6438	0.6369	0.6098	0.6795	0.6667	0.6235
0.6812	0.6792	0.6667	0.6962	0.6923	0.6707
0.7188	0.7097	0.7333	0.7059	0.6875	0.75
0.7	0.6883	0.6463	0.7564	0.7361	0.6705
0.7438	0.7485	0.6854	0.8169	0.8243	0.6744
0.7312	0.719	0.7534	0.7126	0.6875	0.775
0.7938	0.8	0.8148	0.7722	0.7857	0.8026
0.75	0.7297	0.75	0.75	0.7105	0.7857
0.7312	0.7329	0.8082	0.6667	0.6705	0.8056
0.7375	0.7042	0.6667	0.8	0.7463	0.7312
0.7062	0.7186	0.7229	0.6883	0.7143	0.6974
0.7375	0.7308	0.7037	0.7722	0.76	0.7176
0.6125	0.5571	0.5493	0.6629	0.5652	0.6484
0.7875	0.8023	0.7931	0.7808	0.8118	0.76
0.6875	0.6988	0.6905	0.6842	0.7073	0.6667
0.6438	0.6174	0.5679	0.7215	0.6765	0.6196
0.6562	0.6927	0.6813	0.6232	0.7045	0.5972
0.7	0.7143	0.7143	0.6842	0.7143	0.6842
0.75	0.7619	0.7711	0.7273	0.7529	0.7467
0.675	0.6389	0.5823	0.7654	0.7077	0.6526
0.7	0.6883	0.6795	0.7195	0.6974	0.7024
0.7125	0.6974	0.6795	0.7439	0.7162	0.7093
0.6938	0.6879	0.7013	0.6867	0.675	0.7125
0.7062	0.7403	0.7363	0.6667	0.7444	0.6571
0.6938	0.6839	0.6709	0.716	0.6974	0.6905
0.6125	0.6026	0.5875	0.6375	0.6184	0.6071
0.675	0.675	0.72	0.6353	0.6353	0.72
0.6688	0.6581	0.6711	0.6667	0.6456	0.6914
0.65	0.65	0.65	0.65	0.65	0.65
0.6875	0.6875	0.6962	0.679	0.679	0.6962
0.7312	0.7485	0.7442	0.7162	0.7529	0.7067
0.7938	0.7925	0.7683	0.8205	0.8182	0.7711
0.6875	0.7024	0.6782	0.6986	0.7284	0.6456
0.7125	0.6974	0.6974	0.7262	0.6974	0.7262
0.7125	0.7326	0.6923	0.7391	0.7778	0.6456
0.7125	0.7444	0.7363	0.6812	0.7528	0.662
0.675	0.6905	0.716	0.6329	0.6667	0.6849
0.7062	0.6928	0.6625	0.75	0.726	0.6897
0.7875	0.7901	0.7805	0.7949	0.8	0.775
0.6938	0.6711	0.6173	0.7722	0.7353	0.663
0.7312	0.7456	0.75	0.7105	0.7412	0.72
0.7125	0.7089	0.7	0.725	0.7179	0.7073
0.7188	0.7337	0.7209	0.7162	0.747	0.6883
0.7625	0.7865	0.7865	0.7324	0.7865	0.7324
