accuracy	f1score	precision	negativepredvalue	recall	specificity
0.8625	0.859	0.7976	0.9342	0.9306	0.8068
0.8438	0.8447	0.8	0.8933	0.8947	0.7976
0.775	0.7778	0.7159	0.8472	0.8514	0.7093
0.8062	0.8229	0.7579	0.8769	0.9	0.7125
0.8312	0.8138	0.7284	0.9367	0.9219	0.7708
0.85	0.8667	0.8125	0.9062	0.9286	0.7632
0.8375	0.8571	0.8478	0.8235	0.8667	0.8
0.9	0.9036	0.9036	0.8961	0.9036	0.8961
0.8375	0.8571	0.78	0.9333	0.9512	0.7179
0.85	0.8537	0.8537	0.8462	0.8537	0.8462
0.825	0.8542	0.8283	0.8197	0.8817	0.7463
0.8688	0.8712	0.8353	0.9067	0.9103	0.8293
0.8125	0.8276	0.8372	0.7838	0.8182	0.8056
0.825	0.8333	0.7778	0.8857	0.8974	0.7561
0.8375	0.8602	0.8	0.9	0.9302	0.7297
0.8312	0.8421	0.7742	0.9104	0.9231	0.7439
0.825	0.8205	0.7273	0.9444	0.9412	0.7391
0.8375	0.8452	0.8161	0.863	0.8765	0.7975
0.85	0.8681	0.8495	0.8507	0.8876	0.8028
0.8812	0.8848	0.8202	0.9577	0.9605	0.8095
0.9	0.9024	0.9024	0.8974	0.9024	0.8974
0.825	0.825	0.7674	0.8919	0.8919	0.7674
0.8375	0.8415	0.7931	0.8904	0.8961	0.7831
0.8188	0.8304	0.7889	0.8571	0.8765	0.7595
0.8625	0.8736	0.8736	0.8493	0.8736	0.8493
0.825	0.8228	0.7927	0.859	0.8553	0.7976
0.8188	0.8284	0.7692	0.8841	0.8974	0.7439
0.875	0.881	0.881	0.8684	0.881	0.8684
0.7938	0.7843	0.7229	0.8701	0.8571	0.7444
0.8188	0.8482	0.7864	0.8772	0.9205	0.6944
0.8438	0.8555	0.8506	0.8356	0.8605	0.8243
0.7938	0.8177	0.7629	0.8413	0.881	0.6974
0.8812	0.895	0.8804	0.8824	0.9101	0.8451
0.8625	0.8706	0.8222	0.9143	0.925	0.8
0.8688	0.8743	0.8202	0.9296	0.9359	0.8049
0.8188	0.8242	0.7727	0.875	0.8831	0.759
0.8438	0.8555	0.8409	0.8472	0.8706	0.8133
0.8125	0.8333	0.8152	0.8088	0.8523	0.7639
0.8188	0.8242	0.764	0.8873	0.8947	0.75
0.8938	0.9091	0.8673	0.9355	0.9551	0.8169
0.85	0.8605	0.7957	0.9254	0.9367	0.7654
0.8188	0.8027	0.7024	0.9474	0.9365	0.7423
0.8438	0.8503	0.8068	0.8889	0.8987	0.7901
0.8688	0.8743	0.8111	0.9429	0.9481	0.7952
0.8375	0.8452	0.8452	0.8289	0.8452	0.8289
0.8438	0.8428	0.8072	0.8831	0.8816	0.8095
0.85	0.875	0.8485	0.8525	0.9032	0.7761
0.8438	0.8634	0.8404	0.8485	0.8876	0.7887
0.8625	0.869	0.8488	0.8784	0.8902	0.8333
0.8625	0.8642	0.7865	0.9577	0.9589	0.7816
0.7812	0.8108	0.7653	0.8065	0.8621	0.6849
0.8438	0.8447	0.8	0.8933	0.8947	0.7976
0.8688	0.8757	0.8605	0.8784	0.8916	0.8442
0.7938	0.8024	0.7283	0.8824	0.8933	0.7059
0.8625	0.8659	0.8256	0.9054	0.9103	0.8171
0.8438	0.8521	0.809	0.8873	0.9	0.7875
0.825	0.8228	0.7558	0.9054	0.9028	0.7614
0.8438	0.8503	0.7634	0.9552	0.9595	0.7442
0.8125	0.8148	0.8049	0.8205	0.825	0.8
0.875	0.8889	0.8333	0.9375	0.9524	0.7895
0.8125	0.8125	0.7738	0.8553	0.8553	0.7738
0.875	0.8901	0.8617	0.8939	0.9205	0.8194
0.8375	0.8243	0.7531	0.9241	0.9104	0.7849
0.825	0.8427	0.7979	0.8636	0.8929	0.75
0.8438	0.8428	0.7976	0.8947	0.8933	0.8
0.8562	0.8497	0.7738	0.9474	0.942	0.7912
0.8562	0.8655	0.8605	0.8514	0.8706	0.84
0.8438	0.8555	0.8132	0.8841	0.9024	0.7821
0.8125	0.8	0.7317	0.8974	0.8824	0.7609
0.8312	0.8586	0.7961	0.8947	0.9318	0.7083
0.8625	0.8804	0.81	0.95	0.9643	0.75
0.8625	0.8778	0.8316	0.9077	0.9294	0.7867
0.8375	0.8194	0.7468	0.9259	0.9077	0.7895
0.8312	0.8421	0.7579	0.9385	0.9474	0.7262
0.7812	0.7771	0.7349	0.8312	0.8243	0.7442
0.8312	0.8439	0.7849	0.8955	0.9125	0.75
0.8438	0.8619	0.8571	0.8261	0.8667	0.8143
0.8312	0.8383	0.7692	0.913	0.9211	0.75
0.8438	0.8387	0.8228	0.8642	0.8553	0.8333
0.8625	0.8764	0.8387	0.8955	0.9176	0.8
0.8	0.8118	0.7582	0.8551	0.8734	0.7284
0.8125	0.8256	0.7717	0.8676	0.8875	0.7375
0.85	0.8605	0.8132	0.8986	0.9136	0.7848
0.8062	0.8306	0.7755	0.8548	0.8941	0.7067
0.85	0.8571	0.7912	0.9275	0.9351	0.7711
0.8688	0.8743	0.8488	0.8919	0.9012	0.8354
0.8375	0.8312	0.8205	0.8537	0.8421	0.8333
0.8	0.814	0.7692	0.8406	0.8642	0.7342
0.8125	0.8333	0.8242	0.7971	0.8427	0.7746
0.8375	0.8571	0.8211	0.8615	0.8966	0.7671
0.8625	0.859	0.8072	0.9221	0.9178	0.8161
0.8625	0.869	0.8295	0.9028	0.9125	0.8125
0.8	0.7867	0.7195	0.8846	0.8676	0.75
0.7938	0.8156	0.7766	0.8182	0.8588	0.72
0.9125	0.9136	0.881	0.9474	0.9487	0.878
0.9062	0.9133	0.8778	0.9429	0.9518	0.8571
0.8938	0.9081	0.875	0.9219	0.9438	0.831
0.8312	0.8383	0.7865	0.8873	0.8974	0.7683
0.85	0.8605	0.8315	0.8732	0.8916	0.8052
0.8312	0.8383	0.814	0.8514	0.8642	0.7975
0.8562	0.8639	0.8488	0.8649	0.8795	0.8312
0.9125	0.9167	0.8851	0.9452	0.9506	0.8734
0.8812	0.8876	0.8427	0.9296	0.9375	0.825
0.8688	0.8627	0.7952	0.9481	0.9429	0.8111
0.8312	0.8421	0.809	0.8592	0.878	0.7821
0.8562	0.8606	0.8256	0.8919	0.8987	0.8148
0.8062	0.8306	0.7835	0.8413	0.8837	0.7162
0.7938	0.8216	0.8085	0.7727	0.8352	0.7391
0.8125	0.8352	0.7755	0.871	0.9048	0.7105
0.8688	0.8743	0.8488	0.8919	0.9012	0.8354
0.875	0.8889	0.8333	0.9375	0.9524	0.7895
0.8812	0.8758	0.859	0.9024	0.8933	0.8706
0.85	0.8554	0.8256	0.8784	0.8875	0.8125
0.825	0.8462	0.8105	0.8462	0.8851	0.7534
0.8188	0.8221	0.7791	0.8649	0.8701	0.7711
0.8125	0.8315	0.7475	0.918	0.9367	0.6914
0.8438	0.8466	0.8023	0.8919	0.8961	0.7952
0.8688	0.8712	0.8353	0.9067	0.9103	0.8293
0.8562	0.8553	0.8293	0.8846	0.8831	0.8313
0.8312	0.8323	0.7791	0.8919	0.8933	0.7765
0.8438	0.8619	0.8298	0.8636	0.8966	0.7808
0.8312	0.8212	0.7654	0.8987	0.8857	0.7889
0.8312	0.8402	0.7889	0.8857	0.8987	0.7654
0.775	0.7831	0.7222	0.8429	0.8553	0.7024
0.8812	0.8889	0.8444	0.9286	0.9383	0.8228
0.8062	0.8	0.7381	0.8816	0.8732	0.7528
0.8812	0.9005	0.86	0.9167	0.9451	0.7971
0.825	0.8478	0.78	0.9	0.9286	0.7105
0.775	0.7978	0.7172	0.8689	0.8987	0.6543
0.85	0.8571	0.8	0.9143	0.9231	0.7805
0.8188	0.8284	0.7527	0.9104	0.9211	0.7262
0.8812	0.8902	0.8556	0.9143	0.9277	0.8312
