accuracy	f1score	precision	negativepredvalue	recall	specificity
0.9125	0.9079	0.8625	0.9625	0.9583	0.875
0.8812	0.8758	0.8701	0.8916	0.8816	0.881
0.85	0.8421	0.8205	0.878	0.8649	0.8372
0.9	0.9048	0.8636	0.9444	0.95	0.85
0.8438	0.812	0.7826	0.8901	0.8438	0.8438
0.8812	0.8902	0.8652	0.9014	0.9167	0.8421
0.8062	0.8208	0.8554	0.7532	0.7889	0.8286
0.8875	0.8929	0.8824	0.8933	0.9036	0.8701
0.8375	0.8506	0.8043	0.8824	0.9024	0.7692
0.8688	0.8679	0.8961	0.8434	0.8415	0.8974
0.85	0.8667	0.8966	0.7945	0.8387	0.8657
0.875	0.8718	0.8718	0.878	0.8718	0.878
0.8438	0.8521	0.8889	0.7975	0.8182	0.875
0.8562	0.8497	0.8667	0.8471	0.8333	0.878
0.8312	0.8457	0.8315	0.831	0.8605	0.7973
0.8812	0.8805	0.8642	0.8987	0.8974	0.8659
0.8875	0.8714	0.8472	0.9205	0.8971	0.8804
0.9125	0.9136	0.9136	0.9114	0.9136	0.9114
0.8688	0.8827	0.8778	0.8571	0.8876	0.8451
0.9188	0.9139	0.92	0.9176	0.9079	0.9286
0.925	0.9259	0.9375	0.9125	0.9146	0.9359
0.875	0.863	0.875	0.875	0.8514	0.8953
0.9125	0.9091	0.9091	0.9157	0.9091	0.9157
0.8312	0.8383	0.814	0.8514	0.8642	0.7975
0.875	0.8851	0.8851	0.863	0.8851	0.863
0.8438	0.8299	0.8592	0.8315	0.8026	0.881
0.8625	0.859	0.859	0.8659	0.859	0.8659
0.8	0.8072	0.8171	0.7821	0.7976	0.8026
0.85	0.8356	0.8026	0.8929	0.8714	0.8333
0.875	0.8837	0.9048	0.8421	0.8636	0.8889
0.85	0.8554	0.8875	0.8125	0.8256	0.8784
0.8812	0.8876	0.8824	0.88	0.8929	0.8684
0.9062	0.9153	0.9205	0.8889	0.9101	0.9014
0.8812	0.8805	0.8861	0.8765	0.875	0.8875
0.8375	0.8395	0.8095	0.8684	0.8718	0.8049
0.8562	0.8553	0.8293	0.8846	0.8831	0.8313
0.8125	0.8214	0.8313	0.7922	0.8118	0.8133
0.8438	0.8571	0.8621	0.8219	0.8523	0.8333
0.8312	0.8163	0.8451	0.8202	0.7895	0.869
0.8875	0.8966	0.9176	0.8533	0.8764	0.9014
0.8812	0.8862	0.8409	0.9306	0.9367	0.8272
0.8938	0.8661	0.8594	0.9167	0.873	0.9072
0.8625	0.8608	0.8608	0.8642	0.8608	0.8642
0.8938	0.8903	0.8846	0.9024	0.8961	0.8916
0.8188	0.8304	0.8161	0.8219	0.8452	0.7895
0.8875	0.8784	0.9028	0.875	0.8553	0.9167
0.85	0.8681	0.8876	0.8028	0.8495	0.8507
0.875	0.8864	0.8966	0.8493	0.8764	0.8732
0.8562	0.8589	0.8642	0.8481	0.8537	0.859
0.8875	0.8767	0.8767	0.8966	0.8767	0.8966
0.8312	0.8383	0.875	0.7875	0.8046	0.863
0.8312	0.828	0.8025	0.8608	0.8553	0.8095
0.8625	0.8625	0.8961	0.8313	0.8313	0.8961
0.8562	0.8571	0.8023	0.9189	0.92	0.8
0.8812	0.8774	0.8831	0.8795	0.8718	0.8902
0.9188	0.9182	0.9241	0.9136	0.9125	0.925
0.8812	0.8725	0.8442	0.9157	0.9028	0.8636
0.9062	0.898	0.9041	0.908	0.8919	0.9186
0.8688	0.8591	0.9275	0.8242	0.8	0.9375
0.9312	0.9341	0.9398	0.9221	0.9286	0.9342
0.8875	0.88	0.8919	0.8837	0.8684	0.9048
0.9062	0.9123	0.9398	0.8701	0.8864	0.9306
0.8812	0.8593	0.8529	0.9022	0.8657	0.8925
0.8562	0.8606	0.8765	0.8354	0.8452	0.8684
0.8875	0.88	0.88	0.8941	0.88	0.8941
0.8312	0.8138	0.7763	0.881	0.8551	0.8132
0.875	0.881	0.8916	0.8571	0.8706	0.88
0.8375	0.8415	0.8415	0.8333	0.8415	0.8333
0.8625	0.8406	0.8286	0.8889	0.8529	0.8696
0.8688	0.8827	0.8681	0.8696	0.8977	0.8333
0.8875	0.8941	0.8837	0.8919	0.9048	0.8684
0.95	0.9535	0.9425	0.9589	0.9647	0.9333
0.8562	0.8271	0.8088	0.8913	0.8462	0.8632
0.8812	0.8707	0.9014	0.8652	0.8421	0.9167
0.8562	0.8477	0.8312	0.8795	0.8649	0.8488
0.8625	0.8659	0.8452	0.8816	0.8875	0.8375
0.8688	0.8814	0.8966	0.8356	0.8667	0.8714
0.875	0.8649	0.8889	0.8636	0.8421	0.9048
0.8375	0.8267	0.8378	0.8372	0.8158	0.8571
0.875	0.8837	0.8736	0.8767	0.8941	0.8533
0.875	0.8718	0.8831	0.8675	0.8608	0.8889
0.8625	0.8571	0.8919	0.8372	0.825	0.9
0.8438	0.8447	0.85	0.8375	0.8395	0.8481
0.8875	0.8941	0.8941	0.88	0.8941	0.88
0.9	0.9	0.8675	0.9351	0.9351	0.8675
0.875	0.878	0.8675	0.8831	0.8889	0.8608
0.8188	0.8105	0.8052	0.8313	0.8158	0.8214
0.8938	0.8931	0.9103	0.878	0.8765	0.9114
0.8562	0.8671	0.8929	0.8158	0.8427	0.8732
0.8438	0.8521	0.878	0.8077	0.8276	0.863
0.9375	0.9324	0.92	0.9529	0.9452	0.931
0.9062	0.9068	0.9012	0.9114	0.9125	0.9
0.9	0.8788	0.9062	0.8958	0.8529	0.9348
0.8938	0.9029	0.8778	0.9143	0.9294	0.8533
0.9188	0.915	0.9333	0.9059	0.8974	0.939
0.8812	0.8862	0.881	0.8816	0.8916	0.8701
0.9188	0.9274	0.9222	0.9143	0.9326	0.9014
0.8375	0.8375	0.8171	0.859	0.859	0.8171
0.8812	0.8862	0.881	0.8816	0.8916	0.8701
0.8375	0.8333	0.8667	0.8118	0.8025	0.8734
0.8562	0.8589	0.875	0.8375	0.8434	0.8701
0.8688	0.8712	0.8659	0.8718	0.8765	0.8608
0.9	0.9024	0.881	0.9211	0.925	0.875
0.9312	0.9197	0.9403	0.9247	0.9	0.9556
0.8438	0.8503	0.8353	0.8533	0.8659	0.8205
0.85	0.85	0.8395	0.8608	0.8608	0.8395
0.8812	0.8939	0.8602	0.9104	0.9302	0.8243
0.8688	0.8827	0.8977	0.8333	0.8681	0.8696
0.8562	0.8623	0.8675	0.8442	0.8571	0.8553
0.8562	0.8516	0.8919	0.8256	0.8148	0.8987
0.8875	0.8929	0.8929	0.8816	0.8929	0.8816
0.85	0.8356	0.8592	0.8427	0.8133	0.8824
0.9125	0.9125	0.9125	0.9125	0.9125	0.9125
0.9	0.9059	0.9277	0.8701	0.8851	0.9178
0.9	0.8961	0.8961	0.9036	0.8961	0.9036
0.875	0.875	0.8642	0.8861	0.8861	0.8642
0.8562	0.8516	0.8462	0.8659	0.8571	0.8554
0.9	0.8987	0.8875	0.9125	0.9103	0.8902
0.8875	0.8831	0.8831	0.8916	0.8831	0.8916
0.875	0.8718	0.8395	0.9114	0.9067	0.8471
0.8875	0.8989	0.8791	0.8986	0.9195	0.8493
0.8938	0.8794	0.8732	0.9101	0.8857	0.9
0.8688	0.8727	0.8372	0.9054	0.9114	0.8272
0.875	0.8718	0.85	0.9	0.8947	0.8571
0.875	0.875	0.8861	0.8642	0.8642	0.8861
0.8938	0.8777	0.8971	0.8913	0.8592	0.9213
0.9125	0.9222	0.9326	0.8873	0.9121	0.913
0.8438	0.8485	0.8642	0.8228	0.8333	0.8553
0.8688	0.8662	0.8718	0.8659	0.8608	0.8765
0.85	0.8462	0.8462	0.8537	0.8462	0.8537
0.9	0.8947	0.8947	0.9048	0.8947	0.9048
0.9	0.9048	0.8941	0.9067	0.9157	0.8831
0.8562	0.8435	0.8611	0.8523	0.8267	0.8824
0.8688	0.8743	0.8902	0.8462	0.8588	0.88
0.8875	0.8816	0.9054	0.8721	0.859	0.9146
0.8875	0.8861	0.8861	0.8889	0.8861	0.8889
0.825	0.8108	0.75	0.9	0.8824	0.7826
0.8938	0.8844	0.9028	0.8864	0.8667	0.9176
0.8938	0.8794	0.8493	0.931	0.9118	0.8804
0.925	0.9231	0.9	0.95	0.9474	0.9048
0.85	0.8537	0.8537	0.8462	0.8537	0.8462
0.875	0.878	0.9	0.85	0.8571	0.8947
0.875	0.8734	0.8118	0.9467	0.9452	0.8161
0.8938	0.8828	0.9412	0.8587	0.8312	0.9518
0.8812	0.8876	0.9615	0.8049	0.8242	0.9565
0.85	0.831	0.8429	0.8556	0.8194	0.875
0.9	0.8974	0.9091	0.8916	0.8861	0.9136
0.9	0.9059	0.8851	0.9178	0.9277	0.8701
0.875	0.8936	0.866	0.8889	0.9231	0.8116
0.9	0.8904	0.9028	0.8977	0.8784	0.9186
0.8562	0.8369	0.831	0.8764	0.8429	0.8667
0.8562	0.8553	0.8831	0.8313	0.8293	0.8846
0.875	0.8667	0.8553	0.8929	0.8784	0.8721
0.9375	0.9375	0.9375	0.9375	0.9375	0.9375
0.9	0.9192	0.901	0.8983	0.9381	0.8413
0.875	0.8936	0.8936	0.8485	0.8936	0.8485
0.875	0.875	0.9333	0.8235	0.8235	0.9333
0.9062	0.9057	0.8675	0.9481	0.9474	0.869
0.8688	0.8531	0.8841	0.8571	0.8243	0.907
0.9188	0.9231	0.9873	0.8519	0.8667	0.9857
